QUESTION,ANSWER
"Какой договор предоставить заявителю при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","Договор об оказании услуги по отдыху детей и молодежи и их оздоровлению либо копия договора, заверенная подписью сотрудника уполномоченного органа."
"Какую  документ о прибытии предоставить заявителю при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","Документ, выданный организацией отдыха детей и их оздоровления, с отметкой о пребывании ребенка-сироты (копия путевки либо справка-подтверждение, в которых имеются сведения об организации отдыха детей и их оздоровления, включенной в реестр организаций отдыха детей и их оздоровления, сформированный в субъектах Российской Федерации)."
"Какую  документ о прибытии предоставить заявителю при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","Документ, выданный организацией отдыха детей и их оздоровления, с отметкой о пребывании ребенка-сироты (копия путевки либо справка-подтверждение, в которых имеются сведения об организации отдыха детей и их оздоровления, включенной в реестр организаций отдыха детей и их оздоровления, сформированный в субъектах Российской Федерации)."
"Какую  документ о прибытии предоставить заявителю при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","Документ, выданный организацией отдыха детей и их оздоровления, с отметкой о пребывании ребенка-сироты (копия путевки либо справка-подтверждение, в которых имеются сведения об организации отдыха детей и их оздоровления, включенной в реестр организаций отдыха детей и их оздоровления, сформированный в субъектах Российской Федерации)."
"Какой документ подтверждающий оплату предоставить заявителю  при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","Платежный документ, подтверждающий оплату стоимости путевки заявителем (опекуном, попечителем)."
"Какой документ подтверждающий оплату предоставить заявителю  при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","Платежный документ, подтверждающий оплату стоимости путевки заявителем (опекуном, попечителем)."
"Какой документ подтверждающий оплату предоставить заявителю  при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","Платежный документ, подтверждающий оплату стоимости путевки заявителем (опекуном, попечителем)."
"Нужно ли предоставить справку с образовательной организации при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","Справка об обучении по очной форме обучения в образовательной организации, реализующей образовательные программы высшего образования за счет средств соответствующих бюджетов бюджетной системы Российской Федерации, профессионального обучения за счет средств бюджетов субъектов Российской Федерации."
"Нужно ли предоставить справку с образовательной организации при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","Справка об обучении по очной форме обучения в образовательной организации, реализующей образовательные программы высшего образования за счет средств соответствующих бюджетов бюджетной системы Российской Федерации, профессионального обучения за счет средств бюджетов субъектов Российской Федерации."
"Нужно ли предоставить справку с образовательной организации при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","Справка об обучении по очной форме обучения в образовательной организации, реализующей образовательные программы высшего образования за счет средств соответствующих бюджетов бюджетной системы Российской Федерации, профессионального обучения за счет средств бюджетов субъектов Российской Федерации."
"Какие дополнительные документы предоставить заявителю при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","1. СНИЛС 2. окумент, которым может быть удостоверено наличие у детей-сирот и детей, оставшихся без попечения родителей, гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации (уведомление о возможности приема в гражданство Российской Федерации, форма которого утверждена приложением № 10 к Положению о порядке рассмотрения вопросов гражданства Российской Федерации, утвержденному Указом Президента РФ от 14.11.2002 № 1325 «Об утверждении Положения о порядке рассмотрения вопросов гражданства Российской Федерации»)."
"Какие дополнительные документы предоставить заявителю при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","1. СНИЛС 2. окумент, которым может быть удостоверено наличие у детей-сирот и детей, оставшихся без попечения родителей, гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации (уведомление о возможности приема в гражданство Российской Федерации, форма которого утверждена приложением № 10 к Положению о порядке рассмотрения вопросов гражданства Российской Федерации, утвержденному Указом Президента РФ от 14.11.2002 № 1325 «Об утверждении Положения о порядке рассмотрения вопросов гражданства Российской Федерации»)."
"Какие дополнительные документы предоставить заявителю при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","1. СНИЛС 2. окумент, которым может быть удостоверено наличие у детей-сирот и детей, оставшихся без попечения родителей, гражданства Российской Федерации, до оформления наличия гражданства Российской Федерации (уведомление о возможности приема в гражданство Российской Федерации, форма которого утверждена приложением № 10 к Положению о порядке рассмотрения вопросов гражданства Российской Федерации, утвержденному Указом Президента РФ от 14.11.2002 № 1325 «Об утверждении Положения о порядке рассмотрения вопросов гражданства Российской Федерации»)."
"Какие основания для отказов в приеме документов при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
"Какие основания для отказов в приеме документов при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
"Какие основания для отказов в приеме документов при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя."
"Какие основания для отказов в предоставлении услуги при оформлении услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?","отсутствие у заявителя права на предоставление государственной услуги;  представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя"
"Какие основания для отказов в предоставлении услуги при оформлении услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?","отсутствие у заявителя права на предоставление государственной услуги;  представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя"
"Какие основания для отказов в предоставлении услуги при оформлении услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?","отсутствие у заявителя права на предоставление государственной услуги;  представление неполных и(или) недостоверных сведений и документов, необходимых для назначения мер социальной поддержки и дополнительных мер социальной поддержки семьям, имеющим детей, обязанность представления которых возложена на заявителя"
"Какой результат предоставления услуги ""Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок в организации отдыха детей и молодежи и их оздоровления опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей""?",решение о предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления;  решение об отказе в предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления.
"Какой результат предоставления услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?",решение о предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления;  решение об отказе в предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления.
"Какой результат предоставления услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?",решение о предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления;  решение об отказе в предоставлении денежной компенсации стоимости путевки в организации отдыха детей и молодежи и их оздоровления.
"Какой срок предоставления услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?",не более 29 рабочих дней.
"Какой срок предоставления услуги ""Денежная компенсация стоимости путевки в организации отдыха детям-сиротам""?",не более 29 рабочих дней.
"Какой срок предоставления услуги ""Денежная компенсация детям-сиротам, детям, оставшимся без попечения родителей, и лицам из числа детей-сирот и детей, оставшихся без попечения родителей, стоимости путевки в организации отдыха детей и молодежи и их оздоровления""?",не более 29 рабочих дней.
Кто является заявителем при оформлении услуги 1186? ,"Заявителями являются граждане Российской Федерации и относящиеся к одной из следующих категорий лиц:
- дети-сироты и дети, оставшиеся без попечения родителей , находящиеся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по основным общеобразовательным программам в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга, в лице руководителя организации для детей-сирот и детей, оставшихся без попечения родителей;

- лица из числа детей-сирот и детей, оставшихся без попечения родителей , являющиеся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга."
"Кто является заявителем при оформлении услуги ""Предоставлять дополнительную меру социальной поддержки детям-сиротам и детям, оставшимся без попечения родителей, находящимся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по основным общеобразовательным программам в государственных образовательных учреждениях, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, являющимся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, в виде ежемесячного денежного пособия на личные расходы ""? ","Заявителями являются граждане Российской Федерации и относящиеся к одной из следующих категорий лиц:
- дети-сироты и дети, оставшиеся без попечения родителей , находящиеся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по основным общеобразовательным программам в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга, в лице руководителя организации для детей-сирот и детей, оставшихся без попечения родителей;

- лица из числа детей-сирот и детей, оставшихся без попечения родителей , являющиеся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга."
"Кто является заявителем при оформлении услуги ""Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам""? ","Заявителями являются граждане Российской Федерации и относящиеся к одной из следующих категорий лиц:
- дети-сироты и дети, оставшиеся без попечения родителей , находящиеся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по основным общеобразовательным программам в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга, в лице руководителя организации для детей-сирот и детей, оставшихся без попечения родителей;

- лица из числа детей-сирот и детей, оставшихся без попечения родителей , являющиеся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающиеся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, находящихся в ведении исполнительного органа государственной власти Санкт-Петербурга."
Кому назначается услуга 1186? ,"Ежемесячное денежное пособие на личные расходы предоставляется детям-сиротам, детям, оставшимся без попечения родителей, лицам из их числа независимо от их места жительства или места пребывания."
"Кому назначается услуга ""Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам""?","Ежемесячное денежное пособие на личные расходы предоставляется детям-сиротам, детям, оставшимся без попечения родителей, лицам из их числа независимо от их места жительства или места пребывания."
"Кому назначается услуга ""Предоставлять дополнительную меру социальной поддержки детям-сиротам и детям, оставшимся без попечения родителей, находящимся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по основным общеобразовательным программам в государственных образовательных учреждениях, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, являющимся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, в виде ежемесячного денежного пособия на личные расходы ""? ","Ежемесячное денежное пособие на личные расходы предоставляется детям-сиротам, детям, оставшимся без попечения родителей, лицам из их числа независимо от их места жительства или места пребывания."
"Какой размер пособия по услуге ""Предоставлять дополнительную меру социальной поддержки детям-сиротам и детям, оставшимся без попечения родителей, находящимся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по основным общеобразовательным программам в государственных образовательных учреждениях, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, являющимся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, в виде ежемесячного денежного пособия на личные расходы ""?","Размер ежемесячного денежного пособия на личные расходы в 2022 году - 750 руб.
Размер ежемесячного денежного пособия на личные расходы в 2023 году - 844 руб"
"Какой размер пособия по услуге ""Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам""?","Размер ежемесячного денежного пособия на личные расходы в 2022 году - 750 руб.
Размер ежемесячного денежного пособия на личные расходы в 2023 году - 844 руб"
Какой размер пособия по услуге 1186?,"Размер ежемесячного денежного пособия на личные расходы в 2022 году - 750 руб.
Размер ежемесячного денежного пособия на личные расходы в 2023 году - 844 руб"
Какой  документ удостоверяющий личность должен предоставить заявитель по услуге 1186??,"1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены)."
"Какой  документ удостоверяющий личность должен предоставить заявитель по услуге ""Предоставление ежемесячного денежного пособия на личные расходы детям-сиротам""?","1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены)."
"Какой  документ удостоверяющий личность должен предоставить заявитель по услуге ""Предоставлять дополнительную меру социальной поддержки детям-сиротам и детям, оставшимся без попечения родителей, находящимся под надзором в государственных образовательных учреждениях, медицинских государственных учреждениях, государственных учреждениях, оказывающих социальные услуги, или аналогичных государственных учреждениях и государственных учреждениях для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по основным общеобразовательным программам в государственных образовательных учреждениях, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, являющимся выпускниками государственных образовательных учреждений для детей-сирот и детей, оставшихся без попечения родителей, обучающимся по общеобразовательным программам начального общего, основного общего или среднего (полного) общего образования в государственных образовательных учреждениях, в виде ежемесячного денежного пособия на личные расходы ""?","1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены)."
